주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),최종데이터 동기화 시간,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,구,행정동
1042410,논현초교 공영주차장(구),강남구 논현동 168-0,NW,노외 주차장,1,시간제 주차장,02-2176-0943,192,Y,유료,N,야간 미개방,0,2400,2020-07-08 11:14:48,300.0,5.0,300.0,5.0,,강남구,논현동
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,399,Y,유료,N,야간 미개방,0,2400,2021-10-06 18:00:52,170.0,5.0,170.0,5.0,,은평구,진관동
1052723,살곶이 공영주차장(구),성동구 사근동 104-0,NW,노외 주차장,1,시간제 주차장,,102,N,무료,N,야간 미개방,0,0,2020-04-28 15:30:39,,,,,,성동구,사근동
1052741,마장동축산물(평면)(구),성동구 마장동 525-0,NW,노외 주차장,1,시간제 주차장,,32,N,무료,N,야간 미개방,0,0,2020-04-28 17:09:47,,,,,,성동구,마장동
1053712,볏골공원 지하공영주차장(구),강서구 화곡동 98-99,NW,노외 주차장,1,시간제 주차장,02-2065-1575,231,Y,유료,N,야간 미개방,0,0,2021-02-06 15:10:37,1200.0,60.0,100.0,5.0,,강서구,화곡동
1056834,동작주차공원(구),동작구 동작동 326-0,NW,노외 주차장,1,시간제 주차장,,147,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:31:05,100.0,5.0,100.0,5.0,,동작구,동작동
1059009,신사동 제1공영주차장(구),관악구 신림동 511-1,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,41,Y,유료,N,야간 미개방,900,1900,2019-06-10 09:33:25,50.0,5.0,50.0,5.0,0.0,관악구,신림동
1079122,길음역환승주차장(구),성북구 하월곡동 104-112,NW,노외 주차장,1,시간제 주차장,02-6923-0023,147,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:37:28,150.0,5.0,150.0,5.0,10000.0,성북구,하월곡동
1140910,반포2동 공영주차장(구),서초구 반포동 5-1,NW,노외 주차장,1,시간제 주차장,02-534-2772,134,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:32:55,300.0,10.0,300.0,10.0,0.0,서초구,반포동
1140911,반포서래공영주차장[서래마을 3호점](구),서초구 반포동 95-13,NW,노외 주차장,1,시간제 주차장,,7,Y,유료,N,야간 미개방,0,2400,2021-06-17 10:31:34,150.0,5.0,150.0,5.0,0.0,서초구,반포동
1189711,동부청과 공영주차장(시),동대문구 용두동 8-1,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,800,2200,2021-10-08 14:37:12,430.0,5.0,430.0,5.0,,동대문구,용두동
1235254,남산파출소 공영주차장(시),중구 회현동1가 1-16,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,900,1900,2021-10-08 09:37:26,330.0,5.0,330.0,5.0,,중구,회현동1가
1238860,당고개위 공영주차장(시),노원구 상계동 111-568,NS,노상 주차장,1,시간제 주차장,02-1688-1054,1,Y,유료,N,야간 미개방,900,2200,2021-11-11 10:34:30,260.0,5.0,260.0,5.0,0.0,노원구,상계동
1247636,신설동 공영주차장(시),동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,79,Y,유료,N,야간 미개방,900,1900,2021-10-06 16:41:26,260.0,5.0,260.0,5.0,,동대문구,신설동
1247659,구의3동 공영주차장(구),광진구 구의동 219-15,NW,노외 주차장,1,시간제 주차장,02-2049-4596,159,Y,유료,N,야간 미개방,0,2400,2021-09-13 17:12:24,150.0,5.0,0.0,0.0,,광진구,구의동
1247661,광진광장 공영주차장(구),광진구 군자동 374-9,NW,노외 주차장,1,시간제 주차장,02-2049-4596,36,Y,유료,N,야간 미개방,0,2400,2021-09-13 17:26:12,250.0,5.0,0.0,0.0,100000.0,광진구,군자동
1247676,공덕1-2 공영주차장(구),마포구 공덕동 7-133,NW,노외 주차장,3,시간제 + 거주자 주차장,02-300-5041,56,Y,유료,N,야간 미개방,900,1800,2019-06-10 09:38:01,1000.0,60.0,500.0,30.0,0.0,마포구,공덕동
1247678,망원1-2 공영주차장(구),마포구 망원동 403-2,NW,노외 주차장,1,시간제 주차장,02-300-5052,150,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:37:29,150.0,5.0,150.0,5.0,0.0,마포구,망원동
1247683,덕원주차장(구),동대문구 장안동 458-8,NW,노외 주차장,1,시간제 주차장,02-6240-0150,77,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:37:30,1000.0,30.0,300.0,10.0,15000.0,동대문구,장안동
1254864,신길1동공영(구),영등포구 신길동 120-82,NW,노외 주차장,1,시간제 주차장,02-2650-1454,18,N,무료,N,야간 미개방,0,0,2019-06-10 09:38:03,0.0,0.0,0.0,0.0,0.0,영등포구,신길동
1277160,당산노외 공영주차장(시),영등포구 당산동3가 2-1,NW,노외 주차장,1,시간제 주차장,,237,Y,유료,N,야간 미개방,800,2100,2021-10-07 15:38:56,260.0,5.0,260.0,5.0,0.0,영등포구,당산동3가
1277163,명일동 공영주차장(시),강동구 명일동 47-9,NW,노외 주차장,1,시간제 주차장,,11,Y,유료,N,야간 미개방,900,2000,2021-10-07 16:37:38,220.0,5.0,220.0,5.0,,강동구,명일동
1364466,도곡로21길 7 공영주차장(구),강남구 역삼동 795-25,NW,노외 주차장,1,시간제 주차장,02-2176-0920,75,Y,유료,N,야간 미개방,0,2400,2020-07-07 18:10:18,400.0,5.0,400.0,5.0,,강남구,역삼동
1365707,배봉공영주차장(구),동대문구 휘경동 286-66,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2247-9664~6,199,Y,유료,N,야간 미개방,900,1900,2019-06-10 09:35:48,1000.0,60.0,0.0,0.0,10000.0,동대문구,휘경동
1366394,개봉1동마을공동주차장(구),구로구 개봉동 416-2,NW,노외 주차장,1,시간제 주차장,,56,Y,유료,N,야간 미개방,900,1800,2019-06-10 09:35:56,50.0,5.0,50.0,5.0,0.0,구로구,개봉동
1366395,개봉1동 노외주차장(구),구로구 개봉동 134-8,NW,노외 주차장,1,시간제 주차장,,134,Y,유료,N,야간 미개방,0,2400,2020-12-28 13:24:26,100.0,5.0,100.0,5.0,0.0,구로구,개봉동
1366504,송정동(건물)(구),성동구 송정동 68-57,NW,노외 주차장,1,시간제 주차장,02-2204-7965,122,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:35:57,100.0,5.0,100.0,5.0,10000.0,성동구,송정동
1366527,동작대교 공영주차장(시),용산구 용산동6가 69-11,NW,노외 주차장,1,시간제 주차장,,88,Y,유료,N,야간 미개방,800,2200,2021-11-17 15:01:25,120.0,5.0,120.0,5.0,,용산구,용산동6가
1366575,망원동 공영주차장(시),마포구 망원동 478-10,NW,노외 주차장,1,시간제 주차장,02-300-5053,20,Y,유료,N,야간 미개방,900,2000,2021-10-08 11:31:30,150.0,5.0,150.0,5.0,0.0,마포구,망원동
1366576,개화역 공영주차장(시),강서구 개화동 664-0,NW,노외 주차장,1,시간제 주차장,02-2290-6312,483,Y,유료,N,야간 미개방,0,2400,2021-10-06 17:58:43,170.0,5.0,170.0,5.0,0.0,강서구,개화동
1366590,신대방역 공영주차장(시),관악구 신림동 498-0,NW,노외 주차장,1,시간제 주차장,02-2290-6144,60,Y,유료,N,야간 미개방,0,2400,2021-10-07 12:55:11,260.0,5.0,260.0,5.0,,관악구,신림동
1366593,구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,NW,노외 주차장,1,시간제 주차장,,31,Y,유료,N,야간 미개방,800,2100,2021-10-07 15:32:46,260.0,5.0,260.0,5.0,0.0,관악구,신림동
1366791,송천동공영주차장(구),강북구 미아동 439-138,NW,노외 주차장,1,시간제 주차장,02-944-3039,59,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:35:43,150.0,5.0,150.0,5.0,10000.0,강북구,미아동
1366792,수유일공원공영주차장(구),강북구 수유동 605-407,NW,노외 주차장,1,시간제 주차장,02-944-3042,91,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:38:18,200.0,5.0,200.0,5.0,10000.0,강북구,수유동
1366793,번2동 공영주차장(무인)(구),강북구 번동 148-140,NW,노외 주차장,1,시간제 주차장,02)944-3025,20,N,무료,N,야간 미개방,0,0,2019-06-10 09:32:13,0.0,0.0,0.0,0.0,0.0,강북구,번동
1366794,미아동공영주차장(구),강북구 미아동 222-100,NW,노외 주차장,1,시간제 주차장,02-944-3048,155,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:35:43,150.0,5.0,150.0,5.0,10000.0,강북구,미아동
1366795,수유동쌈지마당공영주차장(구),강북구 수유동 612-6,NW,노외 주차장,1,시간제 주차장,,19,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:35:43,250.0,5.0,250.0,5.0,15000.0,강북구,수유동
1366869,당곡중학교공영 (지하주차장)(구),관악구 봉천동 682-0,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,159,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:38:18,50.0,5.0,50.0,5.0,,관악구,봉천동
1366903,석계역 공영주차장(시),노원구 월계동 50-9,NW,노외 주차장,1,시간제 주차장,02-1688-1054,76,Y,유료,N,야간 미개방,0,2400,2021-10-08 14:58:01,260.0,5.0,260.0,5.0,,노원구,월계동
1368512,구청앞(구),강북구 수유동 191-1,NS,노상 주차장,3,시간제 + 거주자 주차장,,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 09:58:54,250.0,5.0,250.0,5.0,15000.0,강북구,수유동
1368749,신길5동 공영(구),영등포구 신길동 400-1,NW,노외 주차장,1,시간제 주차장,02-2677-1401,26,Y,유료,N,야간 미개방,0,2400,2020-08-11 17:27:38,150.0,5.0,150.0,5.0,0.0,영등포구,신길동
1370100,강일동공영주차장(구),강동구 강일동 292-2,NW,노외 주차장,1,시간제 주차장,02-427-6124,85,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:37:25,150.0,5.0,150.0,5.0,,강동구,강일동
1370637,번동 햇살 주차장(구),강북구 번동 148-380,NW,노외 주차장,1,시간제 주차장,02-944-3044,187,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:39:04,150.0,5.0,150.0,5.0,10000.0,강북구,번동
1370857,봉수대공영주차장(구),중랑구 신내동 12-2,NW,노외 주차장,1,시간제 주차장,02-438-8271,31,Y,유료,N,야간 미개방,800,1700,2019-06-10 09:38:53,150.0,5.0,150.0,5.0,3000.0,중랑구,신내동
1371688,공단본부(구),양천구 목동 919-5,NW,노외 주차장,1,시간제 주차장,02-2644-1386,23,Y,유료,N,야간 미개방,900,1730,2020-09-02 15:45:35,150.0,5.0,150.0,5.0,9000.0,양천구,목동
1371690,목동타운홀(구),양천구 목동 905-21,NW,노외 주차장,1,시간제 주차장,02-2644-1384,25,Y,유료,N,야간 미개방,900,1900,2020-09-02 11:51:19,150.0,5.0,150.0,5.0,9000.0,양천구,목동
1372128,마천동 3공영주차장(구),송파구 마천동 128-4,NW,노외 주차장,1,시간제 주차장,02-430-6790,47,Y,유료,N,야간 미개방,0,2400,2020-11-16 11:27:54,100.0,5.0,100.0,5.0,,송파구,마천동
1372154,문정 공영주차장(구),송파구 문정동 2-5,NW,노외 주차장,1,시간제 주차장,02-407-1500,101,Y,유료,N,야간 미개방,600,2100,2019-06-10 09:39:16,100.0,5.0,100.0,5.0,0.0,송파구,문정동
1372454,대림노외 공영주차장(시),구로구 구로동 120-5,NW,노외 주차장,1,시간제 주차장,,93,Y,유료,N,야간 미개방,900,1900,2021-10-07 15:42:37,260.0,5.0,260.0,5.0,,구로구,구로동
1372873,도봉산역 공영주차장(시),도봉구 도봉동 288-19,NW,노외 주차장,1,시간제 주차장,02)2290-6047 ,358,Y,유료,N,야간 미개방,0,2400,2021-10-06 18:04:53,170.0,5.0,170.0,5.0,0.0,도봉구,도봉동
1374090,수서역남 공영주차장(시),강남구 수서동 727-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,80,Y,유료,N,야간 미개방,0,2400,2021-11-10 16:41:17,320.0,5.0,320.0,5.0,0.0,강남구,수서동
1384005,남부골목 전통시장 고객주차장(구),강서구 화곡동 797-7,NW,노외 주차장,1,시간제 주차장,02-2646-5656,17,Y,유료,N,야간 미개방,1000,2000,2019-06-10 09:39:07,250.0,5.0,250.0,5.0,0.0,강서구,화곡동
1384007,까치산 전통시장 고객주차장(구),강서구 화곡동 342-16,NW,노외 주차장,1,시간제 주차장,02-2606-4500,19,Y,유료,N,야간 미개방,1000,2000,2019-06-10 09:38:55,250.0,5.0,250.0,5.0,0.0,강서구,화곡동
1384008,송화골목 전통시장 고객주차장(구),강서구 내발산동 720-4,NW,노외 주차장,1,시간제 주차장,02-2696-5225,24,Y,유료,N,야간 미개방,1000,2100,2019-06-10 09:39:23,250.0,5.0,250.0,5.0,0.0,강서구,내발산동
1384016,가로공원로 지하 주차장(구),강서구 화곡동 662-15,NW,노외 주차장,1,시간제 주차장,02-2699-0802,500,Y,유료,N,야간 미개방,0,0,2021-02-06 15:11:48,100.0,5.0,100.0,5.0,5000.0,강서구,화곡동
1384198,동대문 공영주차장(시),중구 신당동 251-7,NW,노외 주차장,1,시간제 주차장,02)2254-4901 ,1092,Y,유료,N,야간 미개방,0,2400,2021-10-06 18:06:24,360.0,5.0,360.0,5.0,0.0,중구,신당동
1384945,교육청길(구),강북구 미아동 137-19,NS,노상 주차장,3,시간제 + 거주자 주차장,02-944-3025,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 09:59:38,200.0,5.0,200.0,5.0,10000.0,강북구,미아동
1385457,신문로 공영주차장(시),종로구 신문로1가 58-36,NW,노외 주차장,1,시간제 주차장,02-720-0964,17,Y,유료,N,야간 미개방,900,1900,2021-10-07 12:56:15,400.0,5.0,400.0,5.0,0.0,종로구,신문로1가
1386536,서울글로벌센터 공영주차장(시),종로구 서린동 63-0,NW,노외 주차장,1,시간제 주차장,02-720-9862,44,Y,유료,N,야간 미개방,900,1800,2021-08-09 16:38:01,700.0,5.0,700.0,5.0,0.0,종로구,서린동
1398740,신교공영(구),종로구 신교동 66-0,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2236-0052,158,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:38:40,150.0,5.0,150.0,5.0,0.0,종로구,신교동
1412826,매바위 공영주차장(구),은평구 응암동 747-8,NW,노외 주차장,1,시간제 주차장,,80,Y,유료,N,야간 미개방,0,2400,2021-06-09 19:37:52,1200.0,60.0,100.0,5.0,,은평구,응암동
1415512,견인보관소(구),동대문구 휘경동 361-0,NW,노외 주차장,1,시간제 주차장,02-2247-9666,40,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:38:23,500.0,10.0,500.0,10.0,0.0,동대문구,휘경동
1415917,구룡 공영주차장(구),금천구 독산동 964-0,NW,노외 주차장,3,시간제 + 거주자 주차장,02-809-0061~7,22,Y,유료,N,야간 미개방,830,1900,2019-06-10 09:39:25,65.0,5.0,65.0,5.0,0.0,금천구,독산동
1415929,다목적 공영주차장(구),금천구 독산동 971-0,NW,노외 주차장,3,시간제 + 거주자 주차장,02-865-7557,46,Y,유료,N,야간 미개방,830,1900,2019-06-10 09:38:32,65.0,5.0,65.0,5.0,0.0,금천구,독산동
1417234,면목초교주자창(구),중랑구 면목동 192-1,NW,노외 주차장,1,시간제 주차장,,82,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:39:12,100.0,5.0,100.0,5.0,,중랑구,면목동
1418248,방배열린문화센터 공영주차장(구),서초구 방배동 852-14,NW,노외 주차장,1,시간제 주차장,02-2155-7290,109,Y,유료,N,야간 미개방,0,2400,2020-10-28 14:38:31,300.0,10.0,300.0,10.0,0.0,서초구,방배동
1423651,서강대역 환승 공영주차장(구),마포구 신수동 93-35,NW,노외 주차장,1,시간제 주차장,02-300-5052,98,Y,유료,N,야간 미개방,1000,2000,2019-06-10 09:39:14,150.0,5.0,150.0,5.0,,마포구,신수동
1423770,남부초등학교(지하주차장)(구),관악구 신림동 467-0,NW,노외 주차장,3,시간제 + 거주자 주차장,,135,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:38:52,150.0,5.0,150.0,5.0,,관악구,신림동
1423842,마장축산물시장 서문(구),성동구 마장동 522-1,NW,노외 주차장,1,시간제 주차장,,130,N,무료,N,야간 미개방,0,0,2020-04-28 17:14:04,,,,,,성동구,마장동
1424206,다산아트 공영주차장(구),중구 신당동 432-612,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2280-8368,76,Y,유료,N,야간 미개방,0,2400,2021-05-26 14:51:36,150.0,5.0,150.0,5.0,0.0,중구,신당동
1425816,동국제강 공영주차장(시),중구 삼각동 111-1,NW,노외 주차장,1,시간제 주차장,,13,Y,유료,N,야간 미개방,900,1900,2021-10-08 09:43:10,700.0,5.0,700.0,5.0,,중구,삼각동
1429729,봉산도시자연공원 지하공용주차장(구),은평구 신사동 55-5,NW,노외 주차장,1,시간제 주차장,02-842-0224,106,Y,유료,N,야간 미개방,0,2400,2019-11-27 14:35:54,100.0,5.0,100.0,5.0,0.0,은평구,신사동
1431448,고척근린공원지하주차장(구),구로구 고척동 9-14,NW,노외 주차장,1,시간제 주차장,02-850-0920,199,Y,유료,N,야간 미개방,0,2400,2020-07-01 17:33:39,150.0,5.0,150.0,5.0,,구로구,고척동
1432682,구로4동 주택가 공동 주차장(구),구로구 구로동 741-44,NW,노외 주차장,1,시간제 주차장,02-839-4875,198,Y,유료,N,야간 미개방,0,2400,2019-06-27 09:10:33,100.0,5.0,100.0,5.0,0.0,구로구,구로동
1434175,독산4동 공영주차장(구),금천구 독산동 187-40,NW,노외 주차장,1,시간제 주차장,,63,Y,유료,N,야간 미개방,0,2400,2021-01-29 11:00:51,65.0,5.0,65.0,5.0,50000.0,금천구,독산동
1436808,가산디지털 서측(구),금천구 가산동 505-3,NW,노외 주차장,1,시간제 주차장,,160,Y,유료,N,야간 미개방,830,1900,2019-06-10 09:36:32,300.0,10.0,300.0,10.0,9000.0,금천구,가산동
1438735,나눔터길 노상공영(구),강북구 수유동 605-185,NS,노상 주차장,3,시간제 + 거주자 주차장,,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 10:07:52,200.0,5.0,200.0,5.0,10000.0,강북구,수유동
1439690,수유마을시장 공영주차장(구),강북구 수유동 55-53,NW,노외 주차장,1,시간제 주차장,02-944-3053,116,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:37:03,100.0,5.0,100.0,5.0,10000.0,강북구,수유동
1440586,시흥 4동 공영주차장(구),금천구 시흥동 704-56,NW,노외 주차장,3,시간제 + 거주자 주차장,,124,Y,유료,N,야간 미개방,830,1900,2019-06-10 09:36:52,65.0,5.0,65.0,5.0,,금천구,시흥동
1440587,시흥 4동 (삼성)공영주차장(구),금천구 시흥동 171-1,NW,노외 주차장,3,시간제 + 거주자 주차장,,51,Y,유료,N,야간 미개방,830,1900,2019-06-10 09:37:15,65.0,5.0,65.0,5.0,0.0,금천구,시흥동
1441342,도곡초 공영주차장(구),강남구 대치동 924-10,NW,노외 주차장,1,시간제 주차장,02-501-5921,200,Y,유료,N,야간 미개방,0,2400,2020-07-08 16:11:21,300.0,5.0,300.0,5.0,,강남구,대치동
1441348,서울놀이마당 공영주차장(구),송파구 잠실동 47-1,NW,노외 주차장,1,시간제 주차장,,17,Y,유료,N,야간 미개방,900,1800,2020-10-15 09:27:48,500.0,5.0,500.0,5.0,0.0,송파구,잠실동
1441353,신구초 공영주차장(구),강남구 신사동 550-11,NW,노외 주차장,1,시간제 주차장,02-540-6149,185,Y,유료,N,야간 미개방,0,2400,2020-07-08 16:13:37,300.0,5.0,300.0,5.0,0.0,강남구,신사동
1441365,보라매공원동문주차장(구),동작구 신대방동 395-0,NW,노외 주차장,1,시간제 주차장,,52,Y,유료,N,야간 미개방,900,2200,2019-06-10 09:36:41,100.0,5.0,100.0,5.0,0.0,동작구,신대방동
1441366,빙수골장미(구),동작구 상도동 301-132,NW,노외 주차장,1,시간제 주차장,,64,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:41,150.0,5.0,150.0,5.0,35000.0,동작구,상도동
1441370,도산대로25길 32 공영주차장(구),강남구 신사동 564-0,NW,노외 주차장,1,시간제 주차장,02-549-0463,26,Y,유료,N,야간 미개방,900,1900,2020-07-07 18:11:57,400.0,5.0,400.0,5.0,,강남구,신사동
1441378,방이고분 공영주차장(구),송파구 방이동 125-0,NW,노외 주차장,1,시간제 주차장,02-3431-4155,61,Y,유료,N,야간 미개방,900,1800,2020-11-16 11:40:32,100.0,5.0,100.0,5.0,,송파구,방이동
1441382,가재울 공영주차장(구),노원구 하계동 252-6,NW,노외 주차장,3,시간제 + 거주자 주차장,,121,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:45,150.0,5.0,150.0,5.0,11000.0,노원구,하계동
1441386,송파나루공원 동호주차장(구),송파구 신천동 32-0,NW,노외 주차장,1,시간제 주차장,02-424-1199,20,Y,유료,N,야간 미개방,0,0,2019-06-10 09:36:46,500.0,5.0,0.0,0.0,0.0,송파구,신천동
1441397,송파근린공원(구),송파구 송파동 113-2,NW,노외 주차장,1,시간제 주차장,02-418-3854,324,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:48,150.0,5.0,150.0,5.0,0.0,송파구,송파동
1448767,신길6동공영(구),영등포구 신길동 3203-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,129,Y,유료,N,야간 미개방,0,2400,2020-08-11 15:23:53,50.0,5.0,50.0,5.0,0.0,영등포구,신길동
1448769,경부제3녹지공영주차장(구),영등포구 신길동 69-39,NW,노외 주차장,1,시간제 주차장,02-2677-1401,143,Y,유료,N,야간 미개방,0,2400,2020-08-07 10:52:56,100.0,5.0,100.0,5.0,0.0,영등포구,신길동
1449826,경동고(구),성북구 삼선동3가 43-1,NW,노외 주차장,1,시간제 주차장,,122,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:53,150.0,5.0,150.0,5.0,10000.0,성북구,삼선동3가
1451403,세운상가밑(구),종로구 장사동 116-3,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 10:01:39,500.0,5.0,1000.0,10.0,0.0,종로구,장사동
1451527,광화문빌딩(구),종로구 당주동 40-9,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,1000,2200,2019-06-10 10:02:28,500.0,5.0,1000.0,10.0,0.0,종로구,당주동
1451529,광화문빌딩(구),종로구 당주동 40-9,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,1000,2200,2019-06-10 10:02:29,500.0,5.0,1000.0,10.0,0.0,종로구,당주동
1452341,관철동 공영주차장(시),종로구 관철동 13-14,NS,노상 주차장,1,시간제 주차장,02-738-0909,1,Y,유료,N,야간 미개방,900,2200,2021-10-08 10:55:24,430.0,5.0,430.0,5.0,0.0,종로구,관철동
1454028,(구)북부지법주변(구),노원구 공릉동 629-1,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 10:03:56,250.0,5.0,0.0,0.0,33000.0,노원구,공릉동
1454258,수락산디자인서울거리(구),노원구 상계동 996-2,NS,노상 주차장,1,시간제 주차장,,1,Y,유료,N,야간 미개방,900,1900,2019-06-10 10:05:46,150.0,5.0,0.0,0.0,19800.0,노원구,상계동
